FrameNo,Time (UT),Signal (1), Background (1)
1,[21:49:25.299],337.00,302.00
2,[21:49:25.353],354.00,400.00
3,[21:49:25.408],382.00,387.00
4,[21:49:25.467],363.00,390.00
5,[21:49:25.516],331.00,355.00
6,[21:49:25.571],340.00,327.00
7,[21:49:25.626],391.00,382.00
8,[21:49:25.695],336.00,311.00
9,[21:49:25.735],355.00,354.00
10,[21:49:25.789],364.00,314.00
11,[21:49:25.844],345.00,354.00
12,[21:49:25.899],373.00,361.00
13,[21:49:25.965],316.00,391.00
14,[21:49:26.007],362.00,391.00
15,[21:49:26.062],11135,11036
16,[21:49:26.116],11189,11118
17,[21:49:26.171],403.00,377.00
18,[21:49:26.225],311.00,400.00
19,[21:49:26.280],381.00,299.00
20,[21:49:26.335],290.00,360.00
21,[21:49:26.389],429.00,390.00
22,[21:49:26.444],427.00,353.00
23,[21:49:26.498],402.00,390.00
24,[21:49:26.556],369.00,406.00
25,[21:49:26.608],402.00,394.00
26,[21:49:26.662],326.00,353.00
27,[21:49:26.716],376.00,194.00
28,[21:49:26.771],346.00,191.00
29,[21:49:26.825],369.00,390.00
30,[21:49:26.880],287.00,390.00
31,[21:49:26.934],402.00,371.00
32,[21:49:27.004],346.00,400.00
33,[21:49:27.043],6488.0,6615.0
34,[21:49:27.098],11006,10951
35,[21:49:27.152],1787.0,1644.0
36,[21:49:27.207],405.00,429.00
37,[21:49:27.261],351.00,437.00
38,[21:49:27.316],430.00,318.00
39,[21:49:27.377],394.00,349.00
40,[21:49:27.425],377.00,363.00
41,[21:49:27.479],316.00,405.00
42,[21:49:27.534],338.00,361.00
43,[21:49:27.604],399.00,343.00
44,[21:49:27.655],345.00,389.00
45,[21:49:27.700],370.00,362.00
46,[21:49:27.752],374.00,402.00
47,[21:49:27.822],350.00,326.00
48,[21:49:27.863],374.00,387.00
49,[21:49:27.916],319.00,392.00
50,[21:49:27.970],350.00,441.00
51,[21:49:28.025],1478.0,1521.0
52,[21:49:28.079],10734,10913
53,[21:49:28.139],6802.0,6845.0
54,[21:49:28.192],354.00,383.00
55,[21:49:28.243],424.00,374.00
56,[21:49:28.299],359.00,412.00
57,[21:49:28.352],379.00,180.00
58,[21:49:28.419],354.00,260.00
59,[21:49:28.461],332.00,260.00
60,[21:49:28.529],324.00,317.00
61,[21:49:28.570],390.00,383.00
62,[21:49:28.624],428.00,369.00
63,[21:49:28.694],356.00,408.00
64,[21:49:28.737],342.00,345.00
65,[21:49:28.791],330.00,387.00
66,[21:49:28.842],373.00,407.00
67,[21:49:28.897],348.00,402.00
68,[21:49:28.952],397.00,385.00
69,[21:49:29.011],373.00,399.00
70,[21:49:29.065],11077,10918
71,[21:49:29.115],10971,10985
72,[21:49:29.170],408.00,358.00
73,[21:49:29.224],359.00,377.00
74,[21:49:29.279],372.00,328.00
75,[21:49:29.333],431.00,260.00
76,[21:49:29.388],342.00,363.00
77,[21:49:29.443],382.00,355.00
78,[21:49:29.497],392.00,384.00
79,[21:49:29.551],383.00,260.00
80,[21:49:29.606],422.00,361.00
81,[21:49:29.660],395.00,363.00
82,[21:49:29.715],414.00,320.00
83,[21:49:29.769],342.00,360.00
84,[21:49:29.824],441.00,328.00
85,[21:49:29.878],363.00,358.00
86,[21:49:29.933],346.00,389.00
