Tangra v3.8.0.0
Measurments of 1 objects
F:\Archives 2\Astrophoto\Photométrie\Occultations\2025-07-26 (712) Boliviana occults UCAC4 471-125518\PPS\Light\2025-07-26-0158_3-PPS.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,TimeBox,,0,2993,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,7,80,2,00,NaN,yes,827,0,370,0,no


FrameNo,Time (UT),Signal (1), Background (1)
0,[01:57:18.751],466.00,452.00
1,[01:57:18.790],438.00,450.00
2,[01:57:18.830],449.00,454.00
3,[01:57:18.870],436.00,454.00
4,[01:57:18.911],452.00,445.00
5,[01:57:18.951],454.00,446.00
6,[01:57:18.991],444.00,454.00
7,[01:57:19.032],27623,27452
8,[01:57:19.071],32455,32662
9,[01:57:19.111],20823,20935
10,[01:57:19.152],454.00,439.00
11,[01:57:19.191],453.00,457.00
12,[01:57:19.231],446.00,461.00
13,[01:57:19.271],455.00,461.00
14,[01:57:19.312],446.00,440.00
15,[01:57:19.352],446.00,458.00
16,[01:57:19.392],464.00,444.00
17,[01:57:19.432],455.00,447.00
18,[01:57:19.472],457.00,455.00
19,[01:57:19.512],446.00,448.00
20,[01:57:19.552],473.00,447.00
21,[01:57:19.592],440.00,452.00
22,[01:57:19.633],457.00,456.00
23,[01:57:19.672],451.00,452.00
24,[01:57:19.713],454.00,447.00
25,[01:57:19.753],437.00,459.00
26,[01:57:19.793],456.00,448.00
27,[01:57:19.833],442.00,454.00
28,[01:57:19.873],461.00,454.00
29,[01:57:19.914],449.00,439.00
30,[01:57:19.953],452.00,453.00
31,[01:57:19.994],455.00,447.00
32,[01:57:20.034],29783,29779
33,[01:57:20.074],32567,32472
34,[01:57:20.114],19621,19588
35,[01:57:20.154],457.00,454.00
36,[01:57:20.194],458.00,456.00
37,[01:57:20.234],452.00,449.00
38,[01:57:20.274],448.00,446.00
39,[01:57:20.314],453.00,452.00
40,[01:57:20.354],448.00,453.00
41,[01:57:20.395],445.00,453.00
42,[01:57:20.435],460.00,446.00
43,[01:57:20.475],448.00,448.00
44,[01:57:20.515],449.00,447.00
45,[01:57:20.555],461.00,452.00
46,[01:57:20.595],442.00,450.00
47,[01:57:20.635],446.00,459.00
48,[01:57:20.675],450.00,449.00
49,[01:57:20.715],451.00,455.00
50,[01:57:20.756],460.00,462.00
51,[01:57:20.795],444.00,457.00
52,[01:57:20.836],445.00,456.00
53,[01:57:20.876],451.00,454.00
54,[01:57:20.916],435.00,454.00
55,[01:57:20.956],449.00,456.00
56,[01:57:20.997],445.00,445.00
57,[01:57:21.036],31958,31900
58,[01:57:21.076],32599,32452
59,[01:57:21.117],17448,17471
60,[01:57:21.157],453.00,459.00
61,[01:57:21.197],465.00,454.00
62,[01:57:21.237],448.00,447.00
63,[01:57:21.277],452.00,461.00
64,[01:57:21.317],454.00,444.00
65,[01:57:21.357],444.00,448.00
66,[01:57:21.397],455.00,452.00
67,[01:57:21.437],462.00,451.00
68,[01:57:21.478],441.00,451.00
69,[01:57:21.518],458.00,448.00
70,[01:57:21.558],446.00,445.00
71,[01:57:21.598],446.00,450.00
72,[01:57:21.638],453.00,453.00
73,[01:57:21.678],439.00,450.00
74,[01:57:21.718],449.00,453.00
75,[01:57:21.758],441.00,449.00
76,[01:57:21.798],462.00,445.00
77,[01:57:21.839],452.00,443.00
78,[01:57:21.879],445.00,452.00
79,[01:57:21.919],438.00,447.00
80,[01:57:21.959],448.00,451.00
81,[01:57:21.999],1933.0,1906.0
82,[01:57:22.039],32536,32637
83,[01:57:22.079],32462,32589
84,[01:57:22.119],15220,15313
85,[01:57:22.159],443.00,458.00
86,[01:57:22.199],446.00,454.00
87,[01:57:22.240],454.00,449.00
88,[01:57:22.280],448.00,451.00
89,[01:57:22.320],458.00,446.00
90,[01:57:22.360],450.00,453.00
91,[01:57:22.400],456.00,441.00
92,[01:57:22.440],446.00,458.00
93,[01:57:22.480],442.00,448.00
94,[01:57:22.520],455.00,449.00
95,[01:57:22.560],453.00,456.00
96,[01:57:22.601],442.00,445.00
97,[01:57:22.641],444.00,445.00
98,[01:57:22.681],447.00,453.00
99,[01:57:22.721],456.00,448.00
100,[01:57:22.761],443.00,450.00
101,[01:57:22.801],451.00,446.00
102,[01:57:22.841],453.00,459.00
103,[01:57:22.881],438.00,455.00
104,[01:57:22.921],439.00,448.00
105,[01:57:22.961],453.00,459.00
106,[01:57:23.002],4122.0,4126.0
107,[01:57:23.042],32618,32488
108,[01:57:23.082],32433,32447
109,[01:57:23.122],13104,13082
110,[01:57:23.162],444.00,453.00
111,[01:57:23.202],450.00,449.00
112,[01:57:23.242],437.00,451.00
113,[01:57:23.282],447.00,447.00
114,[01:57:23.322],453.00,447.00
115,[01:57:23.363],428.00,453.00
116,[01:57:23.403],450.00,453.00
117,[01:57:23.443],438.00,452.00
118,[01:57:23.483],459.00,454.00
119,[01:57:23.523],445.00,449.00
120,[01:57:23.564],455.00,451.00
121,[01:57:23.604],444.00,451.00
122,[01:57:23.644],459.00,454.00
123,[01:57:23.683],446.00,451.00
124,[01:57:23.724],454.00,446.00
125,[01:57:23.764],447.00,447.00
126,[01:57:23.804],448.00,447.00
127,[01:57:23.844],449.00,459.00
128,[01:57:23.884],447.00,457.00
129,[01:57:23.925],456.00,454.00
130,[01:57:23.964],441.00,450.00
131,[01:57:24.004],6302.0,6297.0
132,[01:57:24.045],32725,32557
133,[01:57:24.085],32504,32514
134,[01:57:24.125],9313.0,9221.0
135,[01:57:24.165],456.00,448.00
136,[01:57:24.205],447.00,452.00
137,[01:57:24.245],457.00,456.00
138,[01:57:24.285],456.00,454.00
139,[01:57:24.325],449.00,442.00
140,[01:57:24.365],454.00,442.00
141,[01:57:24.405],452.00,451.00
142,[01:57:24.446],450.00,445.00
143,[01:57:24.486],457.00,453.00
144,[01:57:24.526],443.00,439.00
145,[01:57:24.566],459.00,451.00
146,[01:57:24.606],438.00,454.00
147,[01:57:24.647],446.00,451.00
148,[01:57:24.686],441.00,451.00
149,[01:57:24.726],449.00,451.00
150,[01:57:24.767],443.00,448.00
151,[01:57:24.807],454.00,457.00
152,[01:57:24.847],454.00,449.00
153,[01:57:24.887],447.00,449.00
154,[01:57:24.927],456.00,446.00
155,[01:57:24.967],448.00,451.00
156,[01:57:25.007],8439.0,8522.0
157,[01:57:25.047],32518,32555
158,[01:57:25.087],32488,32439
159,[01:57:25.128],7912.0,7941.0
160,[01:57:25.168],444.00,451.00
161,[01:57:25.208],458.00,449.00
162,[01:57:25.248],448.00,452.00
163,[01:57:25.288],455.00,453.00
164,[01:57:25.328],451.00,447.00
165,[01:57:25.368],442.00,463.00
166,[01:57:25.408],444.00,453.00
167,[01:57:25.448],448.00,446.00
168,[01:57:25.488],441.00,452.00
169,[01:57:25.529],456.00,460.00
170,[01:57:25.569],448.00,446.00
171,[01:57:25.609],443.00,453.00
172,[01:57:25.649],458.00,447.00
173,[01:57:25.689],460.00,443.00
174,[01:57:25.729],452.00,460.00
175,[01:57:25.769],456.00,451.00
176,[01:57:25.809],457.00,444.00
177,[01:57:25.849],450.00,446.00
178,[01:57:25.890],450.00,460.00
179,[01:57:25.930],454.00,453.00
180,[01:57:25.970],452.00,444.00
181,[01:57:26.011],10765,10643
182,[01:57:26.050],32566,32547
183,[01:57:26.090],32367,32571
184,[01:57:26.131],4973.0,4956.0
185,[01:57:26.170],445.00,448.00
186,[01:57:26.210],453.00,457.00
187,[01:57:26.251],450.00,456.00
188,[01:57:26.291],451.00,448.00
189,[01:57:26.331],445.00,457.00
190,[01:57:26.371],441.00,450.00
191,[01:57:26.411],462.00,459.00
192,[01:57:26.452],454.00,446.00
193,[01:57:26.491],451.00,455.00
194,[01:57:26.531],455.00,447.00
195,[01:57:26.571],452.00,448.00
196,[01:57:26.612],439.00,443.00
197,[01:57:26.652],468.00,441.00
198,[01:57:26.692],456.00,444.00
199,[01:57:26.732],462.00,448.00
200,[01:57:26.772],455.00,444.00
201,[01:57:26.812],446.00,461.00
202,[01:57:26.852],453.00,450.00
203,[01:57:26.892],439.00,451.00
204,[01:57:26.933],449.00,449.00
205,[01:57:26.972],439.00,454.00
206,[01:57:27.013],12868,12978
