Tangra v3.7.0.3
Measurments of 3 objects
F:\Archives 2\Astrophoto\Photométrie\2022-10-23 Eurybate\Didier\delai-acquisition\02_47_20.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,ZWO ASI 178 MM PRO,,0,255,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,6,15,3,50,NaN,yes,483,0,27,0,no
2,ComparisonStar,6,15,,NaN,yes,501,0,522,0,no
3,ComparisonStar,6,15,,NaN,yes,484,0,1003,0,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3)
0,[02:47:20.867],33.000,22.000,29.000,0.0000,50.000,20.000
1,[02:47:20.907],63.000,0.0000,34.000,0.0000,48.000,22.000
2,[02:47:20.949],46.000,29.000,30.000,0.0000,50.000,23.000
3,[02:47:20.987],31.000,0.0000,22.000,0.0000,1935.0,1900.0
4,[02:47:21.027],3299.0,3243.0,8834.0,8766.0,12439,12521
5,[02:47:21.068],11698,11728,12021,12058,12533,12554
6,[02:47:21.108],11597,11695,9281.0,9263.0,4257.0,4266.0
7,[02:47:21.149],2478.0,2473.0,22.000,0.0000,55.000,0.0000
8,[02:47:21.188],42.000,23.000,24.000,0.0000,29.000,22.000
9,[02:47:21.228],42.000,23.000,30.000,0.0000,44.000,24.000
10,[02:47:21.268],45.000,0.0000,26.000,30.000,38.000,20.000
11,[02:47:21.308],34.000,37.000,31.000,26.000,54.000,25.000
12,[02:47:21.348],54.000,21.000,24.000,0.0000,25.000,22.000
13,[02:47:21.388],30.000,40.000,28.000,0.0000,37.000,27.000
14,[02:47:21.428],28.000,0.0000,27.000,0.0000,41.000,23.000
15,[02:47:21.468],29.000,21.000,30.000,0.0000,57.000,24.000
16,[02:47:21.508],27.000,0.0000,30.000,0.0000,52.000,21.000
17,[02:47:21.548],44.000,21.000,24.000,28.000,30.000,22.000
18,[02:47:21.588],29.000,23.000,26.000,0.0000,33.000,20.000
19,[02:47:21.628],31.000,20.000,23.000,0.0000,47.000,35.000
20,[02:47:21.668],41.000,20.000,42.000,0.0000,48.000,25.000
21,[02:47:21.708],38.000,0.0000,22.000,25.000,58.000,21.000
22,[02:47:21.748],38.000,0.0000,30.000,0.0000,31.000,21.000
23,[02:47:21.788],40.000,22.000,23.000,20.000,52.000,23.000
24,[02:47:21.828],37.000,27.000,23.000,23.000,50.000,0.0000
25,[02:47:21.868],36.000,0.0000,22.000,0.0000,31.000,0.0000
26,[02:47:21.908],44.000,21.000,23.000,0.0000,43.000,23.000
27,[02:47:21.949],28.000,33.000,33.000,0.0000,42.000,25.000
28,[02:47:21.988],36.000,23.000,28.000,21.000,2007.0,2019.0
29,[02:47:22.028],3361.0,3373.0,8729.0,8786.0,12511,12575
30,[02:47:22.068],11668,11837,11966,12019,12531,12512
31,[02:47:22.108],11626,11631,9120.0,9219.0,4203.0,4220.0
32,[02:47:22.149],2408.0,2441.0,24.000,0.0000,45.000,0.0000
33,[02:47:22.188],24.000,21.000,34.000,20.000,48.000,39.000
34,[02:47:22.229],40.000,37.000,20.000,0.0000,40.000,20.000
35,[02:47:22.268],32.000,21.000,30.000,0.0000,53.000,30.000
36,[02:47:22.308],36.000,23.000,35.000,21.000,58.000,0.0000
37,[02:47:22.348],38.000,0.0000,37.000,30.000,33.000,0.0000
38,[02:47:22.388],28.000,0.0000,27.000,0.0000,40.000,30.000
39,[02:47:22.429],50.000,21.000,25.000,20.000,53.000,40.000
40,[02:47:22.468],30.000,20.000,28.000,0.0000,31.000,21.000
41,[02:47:22.509],25.000,31.000,19.000,0.0000,31.000,32.000
42,[02:47:22.548],34.000,21.000,21.000,0.0000,36.000,20.000
43,[02:47:22.588],34.000,0.0000,18.000,0.0000,38.000,25.000
44,[02:47:22.628],30.000,20.000,28.000,0.0000,45.000,23.000
45,[02:47:22.668],30.000,25.000,28.000,26.000,37.000,24.000
46,[02:47:22.708],22.000,24.000,32.000,0.0000,43.000,22.000
47,[02:47:22.748],29.000,21.000,37.000,0.0000,24.000,39.000
48,[02:47:22.789],44.000,20.000,26.000,21.000,37.000,21.000
49,[02:47:22.829],29.000,23.000,30.000,32.000,35.000,0.0000
50,[02:47:22.868],27.000,24.000,31.000,0.0000,51.000,24.000
51,[02:47:22.909],38.000,40.000,26.000,0.0000,37.000,25.000
52,[02:47:22.949],33.000,21.000,24.000,27.000,40.000,0.0000
53,[02:47:22.988],54.000,26.000,30.000,18.000,2142.0,2138.0
54,[02:47:23.029],3400.0,3444.0,8824.0,8855.0,12604,12518
55,[02:47:23.068],11788,11753,11998,11994,12577,12514
56,[02:47:23.108],11738,11695,9101.0,9160.0,4156.0,4147.0
57,[02:47:23.148],2376.0,2373.0,23.000,21.000,48.000,42.000
58,[02:47:23.188],32.000,22.000,17.000,0.0000,18.000,22.000
59,[02:47:23.230],33.000,23.000,37.000,0.0000,25.000,37.000
60,[02:47:23.268],31.000,23.000,17.000,0.0000,38.000,0.0000
61,[02:47:23.309],28.000,20.000,27.000,0.0000,42.000,0.0000
62,[02:47:23.348],36.000,26.000,31.000,29.000,31.000,24.000
63,[02:47:23.389],36.000,21.000,25.000,0.0000,26.000,36.000
64,[02:47:23.429],26.000,36.000,33.000,0.0000,32.000,0.0000
65,[02:47:23.469],36.000,23.000,28.000,0.0000,51.000,22.000
66,[02:47:23.508],35.000,0.0000,16.000,0.0000,34.000,22.000
67,[02:47:23.548],43.000,21.000,24.000,0.0000,40.000,21.000
68,[02:47:23.589],26.000,22.000,26.000,31.000,41.000,43.000
69,[02:47:23.630],27.000,24.000,26.000,0.0000,44.000,20.000
70,[02:47:23.669],25.000,31.000,24.000,0.0000,40.000,0.0000
71,[02:47:23.709],32.000,24.000,41.000,0.0000,55.000,34.000
72,[02:47:23.749],44.000,22.000,23.000,24.000,49.000,35.000
73,[02:47:23.789],38.000,23.000,19.000,0.0000,36.000,23.000
74,[02:47:23.830],34.000,24.000,33.000,23.000,47.000,38.000
75,[02:47:23.869],31.000,0.0000,28.000,0.0000,62.000,0.0000
76,[02:47:23.909],32.000,0.0000,30.000,29.000,38.000,23.000
77,[02:47:23.949],38.000,22.000,29.000,0.0000,44.000,23.000
78,[02:47:23.989],36.000,0.0000,23.000,0.0000,2244.0,2199.0
79,[02:47:24.030],3604.0,3510.0,9020.0,9032.0,12396,12548
80,[02:47:24.069],11688,11711,11997,12043,12650,12531
81,[02:47:24.109],11686,11704,9052.0,9122.0,4105.0,4049.0
82,[02:47:24.149],2321.0,2345.0,24.000,21.000,41.000,37.000
83,[02:47:24.189],34.000,22.000,24.000,0.0000,58.000,0.0000
84,[02:47:24.230],32.000,25.000,27.000,0.0000,42.000,33.000
85,[02:47:24.269],24.000,21.000,28.000,0.0000,27.000,37.000
86,[02:47:24.309],44.000,21.000,26.000,0.0000,46.000,42.000
87,[02:47:24.349],32.000,20.000,22.000,0.0000,51.000,23.000
88,[02:47:24.389],37.000,23.000,13.000,0.0000,37.000,20.000
89,[02:47:24.430],46.000,27.000,22.000,0.0000,42.000,23.000
90,[02:47:24.469],33.000,22.000,32.000,0.0000,47.000,0.0000
91,[02:47:24.509],34.000,46.000,28.000,24.000,38.000,22.000
92,[02:47:24.549],42.000,21.000,28.000,0.0000,61.000,25.000
93,[02:47:24.589],31.000,22.000,38.000,26.000,38.000,0.0000
94,[02:47:24.630],31.000,21.000,29.000,21.000,39.000,20.000
95,[02:47:24.669],29.000,0.0000,29.000,0.0000,25.000,24.000
96,[02:47:24.709],43.000,24.000,28.000,0.0000,41.000,20.000
97,[02:47:24.749],25.000,20.000,29.000,0.0000,36.000,34.000
98,[02:47:24.789],24.000,41.000,22.000,20.000,56.000,30.000
99,[02:47:24.830],19.000,0.0000,23.000,0.0000,38.000,23.000
100,[02:47:24.869],39.000,0.0000,22.000,0.0000,26.000,23.000
