Tangra v3.8.0.0
Measurments of 3 objects
F:\Archives 2\Astrophoto\Photométrie\Occultations\2025-07-26 (712) Boliviana occults UCAC4 471-125518\PPS\Light\2025-07-26-0158_3-PPS.ser
UntrackedMeasurement Video (SER.8), Time: Timestamp Saving During Recording (SerEmbeddedUtcTime)


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format, Acquisition Delay (ms)
1,00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,TimeBox,,0,2993,,SER,0,0

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,17,23,2,00,NaN,yes,483,0,25,0,no
2,ComparisonStar,17,23,,NaN,yes,486,0,353,0,no
3,ComparisonStar,17,23,,NaN,yes,493,0,737,0,no


FrameNo,Time (UT),Signal (1), Background (1),Signal (2), Background (2),Signal (3), Background (3)
0,[01:57:18.751],690.00,674.00,677.00,688.00,674.00,578.00
1,[01:57:18.790],706.00,526.00,680.00,677.00,690.00,564.00
2,[01:57:18.830],708.00,670.00,664.00,680.00,681.00,578.00
3,[01:57:18.870],683.00,578.00,677.00,674.00,688.00,578.00
4,[01:57:18.911],685.00,578.00,679.00,688.00,677.00,578.00
5,[01:57:18.951],669.00,578.00,676.00,688.00,674.00,578.00
6,[01:57:18.991],684.00,578.00,692.00,687.00,695.00,569.00
7,[01:57:19.032],36260,28093,41487,41464,47070,38652
8,[01:57:19.071],49850,38229,49319,49285,48481,39875
9,[01:57:19.111],37889,29011,31849,31890,25062,20693
10,[01:57:19.152],685.00,527.00,699.00,694.00,684.00,578.00
11,[01:57:19.191],680.00,578.00,700.00,685.00,690.00,578.00
12,[01:57:19.231],680.00,578.00,707.00,685.00,698.00,578.00
13,[01:57:19.271],684.00,578.00,695.00,688.00,705.00,578.00
14,[01:57:19.312],693.00,537.00,675.00,674.00,674.00,546.00
15,[01:57:19.352],677.00,671.00,677.00,698.00,686.00,569.00
16,[01:57:19.392],682.00,578.00,676.00,685.00,681.00,547.00
17,[01:57:19.432],677.00,578.00,687.00,686.00,697.00,578.00
18,[01:57:19.472],686.00,517.00,678.00,692.00,678.00,578.00
19,[01:57:19.512],684.00,578.00,686.00,692.00,673.00,552.00
20,[01:57:19.552],693.00,527.00,687.00,680.00,662.00,570.00
21,[01:57:19.592],701.00,578.00,683.00,677.00,680.00,578.00
22,[01:57:19.633],692.00,541.00,696.00,683.00,689.00,578.00
23,[01:57:19.672],679.00,578.00,690.00,696.00,700.00,578.00
24,[01:57:19.713],667.00,667.00,674.00,695.00,686.00,578.00
25,[01:57:19.753],677.00,543.00,689.00,676.00,693.00,565.00
26,[01:57:19.793],688.00,578.00,690.00,672.00,674.00,578.00
27,[01:57:19.833],682.00,578.00,686.00,683.00,699.00,578.00
28,[01:57:19.873],694.00,578.00,684.00,693.00,680.00,554.00
29,[01:57:19.914],671.00,530.00,673.00,688.00,688.00,578.00
30,[01:57:19.953],687.00,520.00,668.00,683.00,700.00,578.00
31,[01:57:19.994],694.00,578.00,676.00,670.00,2415.0,1853.0
32,[01:57:20.034],39610,30655,44859,44506,48525,40022
33,[01:57:20.074],49712,38326,49145,49186,48435,48393
34,[01:57:20.114],35788,27507,29878,29879,23146,23195
35,[01:57:20.154],687.00,672.00,669.00,676.00,675.00,560.00
36,[01:57:20.194],680.00,578.00,689.00,695.00,688.00,578.00
37,[01:57:20.234],681.00,541.00,683.00,677.00,699.00,578.00
